Grammar,Swedish,English,Type,Examples
,och,and,conj,
att,vara,be,verb,e.g. var så god!
,i,in,prep,
att,ha,have,verb,
,dess,its,pronoun,
,det,the,pronoun,
,en,one,det,
,som,as,pronoun,
,på,on,prep,
,å,on,prep,e.g. å ena sidan…å andra sidan
